# Thai Translation File for LongYinLiZhiZhuan
# Format: Chinese,Thai

# เมนูหลัก
开始游戏，เริ่มเกม
继续游戏，เล่นต่อ
继续,เล่นต่อ
启程,เริ่มเกมใหม่
读取,โหลดเกม
设置,ตั้งค่า
退出,ออก

升级,อัพเกรด
拆除,รื้อถอน
迁移,ย้ายถิ่น

===================================
#Stats
===================================
命中,ความแม่นยำ

正在踏入江湖...,กำลังเข้าสู่ยุทธภพ...
自动,อัตโนมัติ
快进,เร่งความเร็ว


关系...,ความสัมพันธ์
敌对...,มุ่งร้าย
友善...,มิตรภาพ
修行...,ฝึกฝน
情侣...,คู่รัก
告辞,ขอตัวก่อน


# Skill Types (ใช้ {TYPE})
绝世内功,วิชาภายในขั้นสูงสุด
绝世拳掌,หมัดและฝ่ามือขั้นสูงสุด
秘传轻功,วิชาเบาตัวลับ
秘传拳掌,เทคนิคหมัดและฝ่ามือลับ
秘传射术,เทคนิคการยิงลับ
顶极拳掌,หมัดและฝ่ามือขั้นสุดยอด
顶极绝技,ท่าไม้ตายขั้นสุดยอด
顶极射术,เทคนิคการยิงขั้นสุดยอด
上乘拳掌,หมัดและฝ่ามือขั้นสูง
上乘剑法,เทคนิคกระบี่ขั้นสูง
绝世轻功,วิชาเบาตัวขั้นสูงสุด
基础拳掌,หมัดและฝ่ามือพื้นฐาน
进阶绝技,ท่าไม้ตายขั้นที่หนึ่ง
顶极剑法,เทคนิคกระบี่ขั้นสุดยอด
秘传剑法,เทคนิคกระบี่ลับ

# Levels (ใช้ {LEVEL})
一重功力,ขั้นที่หนึ่ง
二重功力,ขั้นที่สอง
三重功力,ขั้นที่สาม
四重功力,ขั้นที่สี่
五重功力,ขั้นที่ห้า
六重功力,ขั้นที่หก
七重功力,ขั้นที่เจ็ด
八重功力,ขั้นที่แปด
九重功力,ขั้นที่เก้า
十重功力,ขั้นที่สิบ


# Skill Names (ใช้ {SKILL})
黄帝秘经,ตำราลับของฮ่องเต้
灵犀一指,ปลายนิ้วหยินหงส์
女娲补天式,ท่าปฐมบทของนางวา
大慈大悲指,ปลายนิ้วแห่งความเมตตา
枯骨生肉法,วิธีฟื้นฟูกระดูกแห้งให้มีเนื้อ
九幽黄泉指,ปลายนิ้วแห่งยมโลก
无影神针,เข็มเทพไร้เงา
药王毒手,มือพิษแห่งราชายา
