# TENUKI translation cache — do not edit manually
# Saved: 2026-04-19T08:39:52.8335200Z  Entries: 49977
"<color=#ZMCZBZMDZ>斗转+ZMEZ%</color>	<color=#ZMCZBZMDZ>หมุนสู้+ZMEZ%</color>
"<color=#ZMCZBZMDZ>横练[ZMEZ合]</color>	<color=#ZMCZBZMDZ>กายคงกระพัน[ZMEZรอบ]</color>
"<i><color=grey>九天鬼手</color></i>	<i><color=grey>เก้าสวรรค์มือผี</color></i>
"สาม清รวมเป็นหนึ่งด้วยกระบี่เดียว"	สามสิ่งรวมเป็นหนึ่งด้วยกระบี่เดียว
"乱神:(รอบ ZMCZ)	เทพเจ้าผู้ปั่นป่วน:(รอบ ZMCZ)
"功绩 ZMCZ"	ความดีความชอบ ZMCZ
"命中 ZMCZ%"	ความแม่นยำ ZMCZ%
"唐嫣然"	ถังเยียนหราน
"唐逸影"	ถังอี้อิ่ง
"字体家AI造字剑客" (	จอมดาบผู้สร้างอักษรด้วยปัญญาประดิษฐ์
"御กระบี่"	ควบคุมกระบี่
"摘叶飞花"	เด็ดใบไม้ปลิดบุปผา
"汇文明朝体" (	ราชวงศ์อารยธรรมรุ่งเรือง
"沾衣十八跌"	สิบแปดท่าล้มเพียงแตะอาภรณ์
"炉火纯青"	เชี่ยวชาญจนถึงที่สุด
"結缘"	ผูกพันธะ
"羽化登仙"	บำเพ็ญเซียน
"诸散防"	จูซ่านฟาง
"调息"	โคจรลมหายใจ
"调息:(รอบ ZMCZ)	ปรับลมปราณ:(รอบ ZMCZ)
"鹰眼:(รอบ ZMCZ)	ตาเหยี่ยว:(รอบ ZMCZ)
"默写"	ท่องจำ
(ZMCZ级)提升ZMDZ级	(ระดับ ZMCZ) ยกระดับสู่ระดับ ZMDZ
(ZMCZ级)提升ZMDZ级  (	(ระดับ ZMCZ) ยกระดับสู่ระดับ ZMDZ (
(ZMCZ级)提升ZMDZ级  (ZMEZ)	(ระดับ ZMCZ) ยกระดับสู่ระดับ ZMDZ (ZMEZ)
(三级珍宝铺提升ZMDZ点学识效果，当前可鉴定学识要求ZMEZ以下的珍宝)	ร้านสมบัติล้ำค่าระดับสามเพิ่มผลของแต้มความรู้ ทำให้สามารถตรวจสอบสมบัติล้ำค่าที่ต้องการความรู้ต่ำกว่า ZMEZ ได้ในปัจจุบัน
(不观战)	(ไม่เข้าร่วมชม)
(二人交友中，剩余ZMCZ日)	(ขณะที่ทั้งสองกำลังสร้างมิตรภาพ เหลือเวลา ZMCZ)
(二人切磋中，剩余ZMCZ日)	(ทั้งสองกำลังฝึกซ้อม, เหลือ ZMCZ วัน)
(二人战斗中，剩余ZMCZ日)	(ระหว่างการต่อสู้ของทั้งสอง, เหลือ ZMCZ วัน)
(二级珍宝铺提升ZMDZ点学识效果，当前可鉴定学识要求ZMEZ以下的珍宝)	ร้านสมบัติล้ำค่าระดับสองเพิ่มผลของแต้มความรู้ สามารถตรวจสอบสมบัติล้ำค่าที่ต้องการความรู้ต่ำกว่า ZMEZ ได้ในปัจจุบัน
(五级珍宝铺提升ZMDZ点学识效果，当前可鉴定学识要求ZMEZ以下的珍宝)	ร้านสมบัติหายากระดับห้าเพิ่มผลของแต้มความรู้ ทำให้สามารถระบุสมบัติหายากที่ต้องการความรู้ต่ำกว่า ZMEZ ได้ในปัจจุบัน
(亲传弟子以上方可参阅)	(ศิษย์เอกขึ้นไปเท่านั้นจึงจะเข้าถึงได้)
(仅限门派地位在	เฉพาะสำนักที่มีสถานะใน
(会心)	(โจมตีแม่นยำ)
(修炼可增加内功/轻功/绝技的实战经验，ZMCZ级内效果最佳)	การฝึกฝนสามารถเพิ่มประสบการณ์การต่อสู้จริงของกำลังภายใน/วิชาตัวเบา/ท่าร่างได้ (ผลลัพธ์ที่ดีที่สุดในระดับ ZMCZ)
(入门弟子以上方可参阅)	(ศิษย์ระดับเริ่มต้นขึ้นไปจึงจะสามารถอ่านได้)
(凶险奇遇，建议携队友前往)	การผจญภัยอันตราย ควรไปพร้อมสหายร่วมทีม
(剑法潜力小于ZMCZ时，修习可增加ZMDZ点潜力，否则只增加ZMEZ点技能)	หากศักยภาพกระบี่น้อยกว่าZMCZ การฝึกฝนจะเพิ่มศักยภาพZMDZ มิฉะนั้นจะเพิ่มเพียงแต้มทักษะZMEZ
(副掌门以上方可参阅)	(ผู้ที่อยู่เหนือรองเจ้าสำนักจึงจะสามารถเข้าถึงได้)
(医馆当前医术为ZMEZ，你的医术内功技能平均为ZMFZ，效果取二者之和。)	การแพทย์ปัจจุบันของโรงหมอคือ ZMEZ ทักษะกำลังภายในทางการแพทย์ของคุณเฉลี่ยคือ ZMFZ ผลลัพธ์จะนำค่าทั้งสองมารวมกัน
(医馆当前医术为ZMEZ，你的医术技能为ZMFZ，效果取二者之和。)	การแพทย์ปัจจุบันของโรงหมอคือ ZMEZ ทักษะการแพทย์ของเจ้าคือ ZMFZ ผลลัพธ์คือผลรวมของทั้งสอง
(医馆当前医术为ZMEZ，你的毒术技能为ZMFZ，效果取二者之和。)	การแพทย์ปัจจุบันของโรงหมอคือ ZMEZ ทักษะการใช้ยาพิษของเจ้าคือ ZMFZ ผลลัพธ์คือผลรวมของทั้งสอง
(双方医术越高越不容易中毒)	ยิ่งการแพทย์ของทั้งสองฝ่ายสูงเท่าไหร่ ก็ยิ่งยากที่จะถูกวางยาพิษเท่านั้น
(可提升毒术潜力值ZMCZ点，消耗对方好感ZMDZ点，若对方为师傅则减半)	สามารถเพิ่มค่าศักยภาพการใช้ยาพิษโดยใช้ ZMCZ จุด โดยต้องใช้ ZMDZ จุดของอีกฝ่าย หากอีกฝ่ายเป็นอาจารย์จะลดลงครึ่งหนึ่ง
(因超过ZMCZ级，练习只获取ZMDZ%经验！)	เนื่องจากเกินระดับ ZMCZ การฝึกฝนจะได้รับประสบการณ์เพียง ZMDZ%!
(失手)	(พลาด)
(存档一经删除无法恢复，请谨慎选择)	(เมื่อลบไฟล์บันทึกแล้วจะไม่สามารถกู้คืนได้ โปรดเลือกอย่างรอบคอบ)
(存档一经覆盖无法恢复，请谨慎选择)	เมื่อบันทึกถูกเขียนทับแล้วจะไม่สามารถกู้คืนได้ โปรดเลือกอย่างรอบคอบ
(实战经验已满，将以ZMCZ%比例转化为理论经验！)	ประสบการณ์การต่อสู้เต็มแล้ว จะถูกแปลงเป็นประสบการณ์ทางทฤษฎีในอัตราส่วน ZMCZ%!
(对方ZMCZ点内功技能，经验额外增加ZMDZ%)	(คู่ต่อสู้ใช้ทักษะกำลังภายใน, ได้รับประสบการณ์เพิ่มขึ้น ZMDZ%)
(对方ZMCZ点剑法技能，经验额外增加ZMDZ%)	(ฝ่ายตรงข้ามใช้ทักษะดาบ ประสบการณ์เพิ่มขึ้นอีก ZMDZ%)
(对方ZMCZ点绝技技能，经验额外增加ZMDZ%)	(คู่ต่อสู้ใช้ท่าร่าง, ประสบการณ์เพิ่มขึ้นอีก ZMDZ%)
(对方ZMCZ点采伐技能，本次额外收获ZMDZ%)	(ฝ่ายตรงข้ามใช้ทักษะการสกัด, ครั้งนี้ได้รับเพิ่ม ZMDZ%)
(对方技艺潜力比自身高越多，学习效果越好)	ยิ่งศักยภาพทักษะของอีกฝ่ายสูงกว่าตนเองมากเท่าไหร่ ผลการเรียนรู้ก็จะยิ่งดีขึ้นเท่านั้น
(对方技艺等级比自身高越多，学习效果越好)	ยิ่งระดับทักษะของอีกฝ่ายสูงกว่าตนเองมากเท่าไหร่ ผลการเรียนรู้ก็จะยิ่งดีขึ้นเท่านั้น
(已习得 第一重)	(เรียนรู้แล้ว ระดับหนึ่ง)
(已习得 第七重)	(เรียนรู้แล้ว ระดับเจ็ด)
(已习得 第三重)	(เรียนรู้แล้ว ระดับสาม)
(已习得 第九重)	(เรียนรู้แล้ว ระดับเก้า)
(已习得 第二重)	(เรียนรู้แล้ว ระดับที่สอง)
(已习得 第五重)	(เรียนรู้แล้ว ระดับห้า)
(已习得 第八重)	(เรียนรู้แล้ว ระดับแปด)
(已习得 第六重)	(เรียนรู้แล้ว ระดับที่หก)
(已习得 第十重)	(เรียนรู้แล้ว ระดับสิบ)
(已习得 第四重)	(เรียนรู้แล้ว ระดับสี่)
(已习得 第零重)	(เรียนรู้แล้ว ระดับที่ศูนย์)
(已习得)	(เรียนรู้แล้ว)
(已读)	(อ่านแล้ว)
(建筑属于本门派，门派地位可使银两消耗-ZMFZ%)	อาคารเป็นของสำนักนี้ สถานะของสำนักสามารถใช้เงินเหรียญได้ -ZMFZ%
(建筑资源储量ZMCZ%，预计每日可获取ZMDZ木料)	(คลังทรัพยากรอาคาร ZMCZ%, คาดว่าจะได้รับไม้ ZMDZ ต่อวัน)
(建筑资源储量ZMCZ%，预计每日可获取ZMDZ矿石)	(ปริมาณทรัพยากรอาคาร ZMCZ%, คาดว่าจะได้รับแร่ ZMDZ ต่อวัน)
(建筑资源储量ZMCZ%，预计每日可获取ZMDZ粮食)	(คลังทรัพยากรอาคาร ZMCZ%, คาดว่าจะได้รับธัญพืช ZMDZ ต่อวัน)
(建筑资源储量ZMCZ%，预计每日可获取ZMDZ药材)	(คลังทรัพยากรอาคาร ZMCZ%, คาดว่าจะได้รับสมุนไพร ZMDZ ต่อวัน)
(建筑资源储量ZMCZ%，预计每日可获取ZMDZ银钱)	(คลังทรัพยากรอาคาร ZMCZ%, คาดว่าจะได้รับเงิน ZMDZ ต่อวัน)
(当前丐帮对本门好感为ZMCZ)	(ความรู้สึกของพรรคกระยาต่อสำนักเราคือ ZMCZ)
(当前内力值较低)	(พลังภายในปัจจุบันต่ำ)
(当前唐门对本门好感为ZMCZ)	ความรู้สึกของตระกูลถังที่มีต่อสำนักเราคือ ZMCZ
(当前处在野外，行凶恶名xZMCZ%)	(ปัจจุบันอยู่ในป่า, มีชื่อเสียงเลวร้าย xZMCZ%)
(当前大隐阁对本门好感为ZMCZ)	(ความรู้สึกของหอซิ่นต้าอี้ต่อสำนักนี้คือ ZMCZ)
(当前峨眉派对本门好感为ZMCZ)	(ความรู้สึกต่อสำนักง้อไบ๊ในปัจจุบันคือ ZMCZ)
(当前武当派对本门好感为ZMCZ)	ความรู้สึกต่อสำนักบู๊ตึ๊งในปัจจุบันคือ ZMCZ
(当前烟花柳巷为等级四，可提升宴会ZMDZ点基础评分和ZMEZ%的评分加成)	(ปัจจุบันโรงเตี๊ยมดอกไม้มีระดับสี่ สามารถเพิ่มคะแนนพื้นฐานและโบนัสคะแนน ZMDZ% ของงานเลี้ยงได้)
(当前生命值较低)	พลังชีวิตต่ำ
(当前祠堂为等级五，可提升宴会ZMCZ点基础评分和ZMDZ%的评分加成)	ศาลเจ้าปัจจุบันอยู่ในระดับห้า สามารถเพิ่มคะแนนพื้นฐานและโบนัสเปอร์เซ็นต์ของ ZMCZ ในงานเลี้ยงได้
(当前药王谷对本门好感为ZMCZ)	(ความรู้สึกของหุบเขาราชาโอสถต่อสำนักนี้คือ ZMCZ)
(当前阎罗殿对本门好感为ZMCZ)	(ความรู้สึกของวิหารยมโลกต่อสำนักนี้คือ ZMCZ)
(当前青城派对本门好感为ZMCZ)	ความรู้สึกต่อสำนักชิงเฉิงในปัจจุบันคือ ZMCZ
(成为门客后需为唐门效力ZMCZ日，提前叛离会受到惩罚)	เมื่อเป็นศิษย์ของสำนักแล้ว ต้องรับใช้ตระกูลถังเป็นเวลา ZMCZ การทรยศก่อนกำหนดจะถูกลงโทษ
(所有排名均不分先后)	(การจัดอันดับทั้งหมดไม่มีลำดับก่อนหลัง)
(抵达瓶颈 需要突破)	ถึงทางตัน ต้องทะลวงผ่าน
(拳掌潜力小于ZMCZ时，修习可增加ZMDZ点潜力，否则只增加ZMEZ点技能)	หากศักยภาพหมัดน้อยกว่าZMCZ การฝึกฝนจะเพิ่มศักยภาพZMDZ มิฉะนั้นจะเพิ่มเพียงแต้มทักษะZMEZ เท่านั้น
(提升ZMCZ点好感。对方江湖地位越高，对礼物要求越贵重)	เพิ่มแต้มความสัมพันธ์กับ ZMCZ ยิ่งสถานะในยุทธภพของอีกฝ่ายสูงเท่าไหร่ ความต้องการของของขวัญก็จะยิ่งมีค่ามากขึ้นเท่านั้น
(教授此武功将提升对方好感ZMCZ)	(การสอนวิทยายุทธ์นี้จะเพิ่มค่าความชอบของอีกฝ่าย ZMCZ)
(暴力破解将消耗ZMCZ点耐力)	(การเจาะระบบด้วยกำลังจะใช้แต้มความทนทาน ZMCZ)
(未习得)	(ยังไม่เรียนรู้)
(未读)	(ยังไม่ได้อ่าน)
(本月还可指点此人ZMCZ次)	เดือนนี้ยังสามารถชี้แนะผู้นี้ได้อีก ZMCZ
(极难奇遇，建议携多名强力队友前往)	เหตุการณ์สุดแรร์ ยากยิ่ง ขอแนะนำให้พาเพื่อนร่วมทีมที่แข็งแกร่งหลายคนไปด้วย
(正式弟子以上方可参阅)	(เฉพาะศิษย์ที่ผ่านการรับรองเท่านั้นที่สามารถเข้าถึงได้)
